value,label,snippet
596,00b5cb1bbad6a298b4c437d77c12c371bb49cd8b,"<h2>Claiming in advance and backdating</h2><p>You can claim in advance by up to 13 weeks (or 17 weeks if you’re aged 60 or over), for example if you’re moving. You won’t usually get any money before you move.</p>"
136,011b1a8acbd843a3bf8c9601afaf519e2c9f1dd2,"<h1>2. Who gets the minimum wage</h1><p>Workers are also entitled to the correct minimum wage if they’re:</p><ul><li>apprentices</li><li>trainees, workers on probation</li><li>disabled workers</li><li>agricultural workers</li></ul>"
149,0131221aef77ff85af7451f7f5d914ce03eac417,"<h2>Help with the form</h2><p>Monday to Friday, 8:30am to 5pm</p>"
28,017ef7f7acbc149d32d74c4b5779f6a53fb9d009,<h2>Help with the form</h2><p>Telephone: 0300 123 1142</p>
118,02211316bd37c840cb52dff872ffc188539c07d1,<p>The borrower must qualify for the portion of the loan used to purchase or refinance a home. Borrowers are not required to qualify on the portion of the loan used for making energy-efficient upgrades. All FHA-approved lenders are eligible to offer EEM to persons who are purchasing or refinancing with an FHA-insured mortgage.</p>
180,0386d20f6ef6e7885ed8a9efe5c51e0d70da3820,<p>Educational and Career Counseling can help you:</p><ul><li>Develop educational program objectives</li></ul>
176,05018ca74f6ab53010ca7e946e4b382c0103887f,"<h3>Informed financial consent for schedule services</h3><p>For bulk billed services, your patient or their parent or guardian still need to provide consent at each visit. You only need to get them to sign a consent form on the first visit each year. If your patient is seeing multiple dentists in a single practice, they must complete a form for each dentist they visit. Use the Informed Financial Consent - Bulk Billing Patient Consent Form on the Department of Health website.</p>"
108,050bc20215d623506c190c757537d420b819e226,"<h2>Your partner gets benefits in another EEA country or Switzerland</h2><p>If you’ve got children and your partner gets benefits paid by another EEA country or Switzerland, this may affect your tax credits.</p>"
538,051d9a60e3b7893b674e025e4c3ac87794c7571f,"<p>Farm Storage Facility Loans (FSFL) are provided to encourage the construction of on-farm storage and handling facilities for eligible commodities. Eligible commodities include: corn, grain sorghum, oats, wheat, barley, rice, soybeans, peanuts, minor oilseeds, lentils, chickpeas, dry peas, hay, renewable biomass and cold storage facilities for fruits and vegetables.</p>"
546,061a6ee9c30f33816bd5660b9f6dd84b1485f611,"<p>To qualify for this benefit, you must be:</p><ul><li>Age 65 or older as of December 14, 1999</li><li>A World War II Veteran as described above</li><li>Eligible for Supplemental Security Income (SSI) as of December 1999 and in the month you apply for special veterans benefits</li><li>Entitled to benefit income that is less than 75 percent of the current SSI federal benefit rate.</li></ul>"
132,069d49bdee5528b33027b2984ba8a60b60bfcc22,<p>The maximum length of the loan is 25 years for real estate and seven years for working capital. The maximum loan amount is $2 million.</p>
439,081f76d7f99ef769ee1040f4295c81b4192c010b,"<p>Per Title 29-A, 2323 of the Maine Revised Statutes, all bicycle riders under 16 years old on public roadways and public bikeways must wear helmets.</p>"
577,09247abbce1b8a0a20f51e9315726bacebcb027d,<h3>Dad and Partner Pay</h3><p>A short term payment if you’re a dad or partner on leave from work to help care for your new child.</p>
273,094f01fdd841399564d7e77ea5762b13ebb1d057,"<h2>If you already live in another EEA country or Switzerland</h2><p>You don’t need to have claimed in the UK before you moved. But you must:</p><ul><li>be habitually resident in the EEA country or Switzerland</li><li>have a genuine link with the UK social security system, for example you’ve lived or worked in the UK</li></ul>"
110,0aa67e7d47dfba21b99e8be6ef0c7cfd95ae2d99,<h1>1. Eligibility</h1><ul><li>you want to have the decision looked at again</li></ul>
51,0ac42375a618b319d0eaffe17563947bf5e08bd4,<h1>Who can get Crisis Payment</h1><p>Crisis Payment can help if you:</p><ul><li>get out of jail</li><li>are experiencing family and domestic violence</li><li>have been in prison or psychiatric confinement for 14 days</li><li>have severe financial hardship</li></ul>
1,0b22c496b2d77b201f4c4272f23e129f942fe9c8,<h1>3. Eligibility</h1><p>You must claim the new State Pension if you reach State Pension age on or after 6 April 2016.</p>
300,0b53aa2acfd5a8b38ece90857aba3f27813c5743,"<p>Outpatient dental treatment is available to eligible Veterans and may include the full spectrum of diagnostic, surgical, restorative, and preventive procedures. In many cases, however, the law permits only limited kinds of care.</p>"
309,0b92d65ebfe8bfc7807547faa6ba464991ef3b8a,"<h1>Independent Contractor Defined</h1><p>If an employer-employee relationship exists (regardless of what the relationship is called), you are not an independent contractor and your earnings are generally not subject to Self-Employment Tax.</p>"
